weather_main;Tipo;Operador;Valor;Recomendación_Base
Clear;temp;>;umbral_max;Hace mucho calor, prefiere actividades bajo sombra o en interiores.
Clear;temp;entre;umbral_calido,umbral_max;Día cálido y despejado, ideal para caminatas o actividades al aire libre.
Clear;temp;entre;umbral_calido,umbral_max;Sol brillante y cálido, perfecto para deportes al aire libre.
Clear;temp;entre;umbral_frio,umbral_calido;Clima templado y despejado, aprovecha para salir o hacer ejercicio moderado.
Clear;temp;entre;umbral_frio,umbral_calido;Día soleado y agradable, ideal para un picnic o paseo en el parque.
Clear;temp;entre;umbral_min,umbral_frio;Un poco fresco pero agradable, considera un abrigo ligero si sales.
Clear;temp;entre;umbral_min,umbral_frio;Sol suave y fresco, buen momento para actividades tranquilas al aire libre.
Clear;temp;<;umbral_min;Hace bastante frío aunque esté despejado, considera actividades en casa.
Clouds;temp;>;umbral_max;Día caluroso con nubosidad, busca sombra y mantente hidratado.
Clouds;temp;entre;umbral_calido,umbral_max;Clima cálido con nubes, perfecto para actividades tranquilas al aire libre.
Clouds;temp;entre;umbral_frio,umbral_calido;Nublado y templado, buen momento para paseos o actividades suaves.
Clouds;temp;entre;umbral_min,umbral_frio;Fresco y nublado, lleva abrigo si vas a estar fuera.
Clouds;temp;<;umbral_min;Hace frío y está nublado, considera quedarte en interiores.
Rain;temp;>;umbral_max;Lluvia y calor, evita salir si no es necesario y mantente hidratado.
Rain;temp;entre;umbral_calido,umbral_max;Lluvia y sensación cálida, lleva paraguas si sales.
Rain;temp;entre;umbral_frio,umbral_calido;Día lluvioso y fresco, ideal para actividades en casa.
Rain;temp;entre;umbral_min,umbral_frio;Lluvia fría, abrígate y cuida tu salud.
Rain;temp;<;umbral_min;Lluvia intensa y mucho frío, evita salir y mantente resguardado.
Snow;temp;>;umbral_max;Temperatura inusual con nieve, atención a riesgos de deshielo.
Snow;temp;entre;umbral_calido,umbral_max;Nieve ligera con algo de calor, precaución si sales.
Snow;temp;entre;umbral_frio,umbral_calido;Día nevado, ideal para actividades invernales si estás preparado.
Snow;temp;entre;umbral_min,umbral_frio;Mucho frío y nieve, abrígate bien y evita zonas resbaladizas.
Snow;temp;<;umbral_min;Nieve intensa y frío extremo, mejor quedarse en casa.
Thunderstorm;temp;>;umbral_max;Tormenta eléctrica y calor, busca resguardo y mantente alejado de zonas abiertas.
Thunderstorm;temp;entre;umbral_calido,umbral_max;Posible tormenta con temperatura cálida, evita salir innecesariamente.
Thunderstorm;temp;entre;umbral_frio,umbral_calido;Riesgo de tormentas, buen momento para actividades bajo techo.
Thunderstorm;temp;entre;umbral_min,umbral_frio;Clima inestable y frío, mantente en casa si puedes.
Thunderstorm;temp;<;umbral_min;Frío extremo con tormenta, no es seguro estar en exteriores.
Drizzle;temp;>;umbral_max;Llovizna con calor, posible bochorno, hidrátate si sales.
Drizzle;temp;entre;umbral_calido,umbral_max;Llovizna cálida, ideal para un paseo corto con paraguas.
Drizzle;temp;entre;umbral_frio,umbral_calido;Día suave con llovizna, perfecto para lectura o descanso.
Drizzle;temp;entre;umbral_min,umbral_frio;Llovizna fría, abrígate si necesitas salir.
Drizzle;temp;<;umbral_min;Llovizna muy fría, mejor quedarse en casa.
Mist;temp;>;umbral_max;Neblina densa y calor, precaución al conducir.
Mist;temp;entre;umbral_calido,umbral_max;Día cálido con neblina, limita la exposición si hay poca visibilidad.
Mist;temp;entre;umbral_frio,umbral_calido;Clima brumoso y fresco, reduce actividades en exteriores.
Mist;temp;entre;umbral_min,umbral_frio;Día frío y con niebla, abrígate bien.
Mist;temp;<;umbral_min;Neblina espesa y frío intenso, no se recomienda salir.
Haze;temp;>;umbral_max;Calima con calor, evita esfuerzos físicos y usa mascarilla si es necesario.
Haze;temp;entre;umbral_calido,umbral_max;Cielo brumoso y cálido, limita tu actividad física.
